DSQFL,DSQ, Bairro ,Rua,Número,Tipo de Empreendimento,Area Total Construida,Situação,Restaurantes e cafés,Nome Edifício,Nº Pavimentos em Uso,Disponibilidade,Atividade de Funcionamento,Grau de Risco,Laudo,Acessibilidade,Pichação,Observações,Proprietário Localizado,Investimento,Tributação,Autorização de Informação,Proprietário Cartório,Proprietário Campo,Contato Proprietário,Coincidência Proprietário,Uso do Imóvel,Valor do Aluguel,Valor de Venda,latitude,longitude,latlong,latitude_,longitude_
11455150020220,11455150,Recife,Rua da Guia,165,EDIFÍCIO COMERCIAL/SERVIÇOS,"215,30",Aberto,Arsenal do Sabor,,,,Restaurante Arsenal do Sabor,R1,,,,,,,,,,,,,,,,"-8,06138","-34,87189","-8.06138,-34.87189",-8.06138,-34.87189
11455150020215,11455150,Recife,Rua da Guia,171,LOJA,"378,60",Fechado,,,,Venda (inteiro),disponível venda em reforma,R2,,,,,,,,,,,(81) 99833-0693,,,"R$14.000,00",,"-8,06133","-34,87188","-8.06133,-34.87188",-8.06133,-34.87188
11455150020210,11455150,Recife,Rua da Guia,175,LOJA,"101,00",Aberto,Gelattos,,,,Restaurante,SR,,,,,,,,,,,,,,,,"-8,06130","-34,87185","-8.06130,-34.87185",-8.06130,-34.87185
11455150020205,11455150,Recife,Rua da Guia,179,CASA,"88,00",Aberto,Gelattos,,,,Restaurante Gelattos,SR,,,,,,,,,,,,,,,,"-8,06127","-34,87183","-8.06127,-34.87183",-8.06127,-34.87183
11455150020200,11455150,Recife,Rua da Guia,183,EDIFÍCIO COMERCIAL/SERVIÇOS,"202,50",Fechado,,,,,,,,,,,,,,,,,,,,,,"-8,06124","-34,87181","-8.06124,-34.87181",-8.06124,-34.87181
11455130020171,11455130,Recife,Rua da Guia,197,EDIFÍCIO COMERCIAL/SERVIÇOS,"125,40",Aberto,,,,,Centro de Atendimento ao Turista,R1,,,,,,,,,,,,,,,,"-8,06110","-34,87182","-8.06110,-34.87182",-8.06110,-34.87182
11455130020166,11455130,Recife,Rua da Guia,201,LOJA,"316,60",Fechado,,,,,o dono vem às vezes,SR,,,,,,,,,,,,,,,,"-8,06110","-34,87174","-8.06110,-34.87174",-8.06110,-34.87174
11455130020160,11455130,Recife,Rua da Guia,207,LOJA,"92,90",Aberto,Maltado,,,,Maltado,SR,,,,,,,,,,,,,,,,"-8,06106","-34,87172","-8.06106,-34.87172",-8.06106,-34.87172
11455130020155,11455130,Recife,Rua da Guia,211,LOJA,"254,30",Aberto,Mamulengo,,,,Restaurante,SR,,,,,,,,,,,,,,,,"-8,06101","-34,87170","-8.06101,-34.87170",-8.06101,-34.87170
11455130020150,11455130,Recife,Rua da Guia,217,EDIFÍCIO COMERCIAL/SERVIÇOS,"272,60",Aberto,,,,,Empresa,SR,,,,,,,,,,,,,,,,"-8,06094","-34,87175","-8.06094,-34.87175",-8.06094,-34.87175
11455130020145,11455130,Recife,Rua da Guia,223,LOJA,"76,90",Em obra,,,,,,SR,,,,,,,,,,,,,,,,"-8,06093","-34,87167","-8.06093,-34.87167",-8.06093,-34.87167
11455130020143,11455130,Recife,Rua da Guia,227,LOJA,"74,80",Em obra,,,,Aluguel (inteiro),Disponível,SR,,,,em reforma (licenciamento em andamento IPHAN),,,,,,,(81) 99114-9000,,,"R$ 15.000,00",indisponível,"-8,06090","-34,87166","-8.06090,-34.87166",-8.06090,-34.87166
11455130020137,11455130,Recife,Rua da Guia,231,LOJA,"62,50",Fechado,,,,,Reforma,SR,,,,,,,,,,,(81) 99262-2400,,,não disponível,"R$2.000.000,00","-8,06086","-34,87164","-8.06086,-34.87164",-8.06086,-34.87164
11455290010035,11455290,Recife,Rua da Moeda,46,EDIFICAÇÃO ESPECIAL,"2.128,00",Aberto,,,,,Órgão Público,R3,,,,,,,,,,,,,,,,"-8,06469","-34,87227","-8.06469,-34.87227",-8.06469,-34.87227
11455275030015,11455275,Recife,Rua da Moeda,50,EDIFICAÇÃO ESPECIAL,"2.277,70",Aberto,,,,,Insole,SR,,,,,,,,,,,,,,,,"-8,06431","-34,87232","-8.06431,-34.87232",-8.06431,-34.87232
11455295010106,11455295,Recife,Rua da Moeda,63,EDIFÍCIO COMERCIAL/SERVIÇOS,"543,70",Fechado,,,,,,SR,,,,,,,,,,,,,,,,"-8,06478","-34,87245","-8.06478,-34.87245",-8.06478,-34.87245
11455295010098,11455295,Recife,Rua da Moeda,71,LOJA,"713,20",Aberto,,,,,Mangue Oranje Hostel,SR,,,,,,,,,,,,,,,,"-8,06480","-34,87255","-8.06480,-34.87255",-8.06480,-34.87255
11455295010085,11455295,Recife,Rua da Moeda,87,EDIFÍCIO MISTO,"228,00",Aberto,Brotfabrik,,,,Brotfabrik,R1,,,,,,,,,,,,,,,,"-8,06473","-34,87265","-8.06473,-34.87265",-8.06473,-34.87265
11455280030025,11455280,Recife,Rua da Moeda,88,GALPÃO,"115,00",Fechado,,,,,,SR,,,,,,,,,,,,,,,,"-8,06442","-34,87273","-8.06442,-34.87273",-8.06442,-34.87273
11455295010075,11455295,Recife,Rua da Moeda,93,EDIFÍCIO COMERCIAL/SERVIÇOS,"238,00",Aberto,Lampião e Maria Bonita,,,,Restaurante,R1,,,,,,,,,,,,,,,,"-8,06474","-34,87273","-8.06474,-34.87273",-8.06474,-34.87273
11455285030004,11455285,Recife,Rua da Moeda,114,EDIFÍCIO COMERCIAL/SERVIÇOS,"224,00",Aberto,Rota do Marujo,,,,Restaurante Rota do Marujo,SR,,,,,,,,,,,,,,,,"-8,06445","-34,87296","-8.06445,-34.87296",-8.06445,-34.87296
11455285030015,11455285,Recife,Rua da Moeda,122,INDÚSTRIA,"737,10",Em obra,Restaurante,,,,restaurante,R1,,,,,,,,,,,,,,,,"-8,06442","-34,87304","-8.06442,-34.87304",-8.06442,-34.87304
11455300010123,11455300,Recife,Rua da Moeda,129,EDIFICAÇÃO ESPECIAL,"832,20",Aberto,,,,,Empresas Fab Lab Rec Digital,SR,,,,,,,,,,,,,,,,"-8,06483","-34,87305","-8.06483,-34.87305",-8.06483,-34.87305
11455285030025,11455285,Recife,Rua da Moeda,132,#N/A,,Fechado,,,,,Número 132 na fachada,,,,,,,,,,,,,,,,,"-8,06442","-34,87312","-8.06442,-34.87312",-8.06442,-34.87312
11455300010117,11455300,Recife,Rua da Moeda,137,EDIFÍCIO COMERCIAL/SERVIÇOS,"579,00",Fechado,(disponível) Restaurante,,,,estava funcionando com restaurante Pepe,R4,,,,Prédio da Santa Casa,,,,,,,,,,,,"-8,06486","-34,87315","-8.06486,-34.87315",-8.06486,-34.87315
11455285030035,11455285,Recife,Rua da Moeda,140,LOJA,"243,60",Aberto,,,,,galeria Arte Plural,SR,,,,,,,,,,,,,,,,"-8,06448","-34,87319","-8.06448,-34.87319",-8.06448,-34.87319
11455300010106,11455300,Recife,Rua da Moeda,149,EDIFÍCIO COMERCIAL/SERVIÇOS,"322,20",Em obra,,,,,reformando por fora,R4,,,,Prédio da Santa Casa,,,,,,,,,,,,"-8,06486","-34,87324","-8.06486,-34.87324",-8.06486,-34.87324
11455285030040,11455285,Recife,Rua da Moeda,150,LOJA,"205,20",Fechado,,,,Aluguel (inteiro),abandonado (disponível),R1,,,,,,,,,,Americo Miranda,(81) 99974-6682 / 99138-6891 / 3274-8122,,,"R$7.000,00","R$ 1.200.000,00","-8,06448","-34,87327","-8.06448,-34.87327",-8.06448,-34.87327
11455285030050,11455285,Recife,Rua da Moeda,156,EDIFÍCIO COMERCIAL/SERVIÇOS,"364,50",Em obra,Restaurante,,,,restaurante,R1,,,,,,,,,,,,,,,,"-8,06449","-34,87333","-8.06449,-34.87333",-8.06449,-34.87333
11455285030055,11455285,Recife,Rua da Moeda,162,EDIFÍCIO COMERCIAL/SERVIÇOS,"200,70",Fechado,,,,,,R1,,,,,,,,,,,,,,,,"-8,06449","-34,87339","-8.06449,-34.87339",-8.06449,-34.87339
11455300010090,11455300,Recife,Rua da Moeda,169,EDIFICAÇÃO ESPECIAL,"130,50",Aberto,,,,,casa de máquina do Paço Alfândega,R3,,,,,,,,,,,,,,,,"-8,06487","-34,87338","-8.06487,-34.87338",-8.06487,-34.87338
11455285030061,11455285,Recife,Rua da Moeda,170,EDIFÍCIO COMERCIAL/SERVIÇOS,"347,10",Fechado,,,,Venda (inteiro),disponível,R1,,,,,,,,,,,(81) 99320-3928 / 99626-7293,,,"dois imóveis: R$2.000,00 (60m2) / R$3.000,00 (80m2)",não disponível,"-8,06448","-34,87345","-8.06448,-34.87345",-8.06448,-34.87345
11565160020170,11565160,Santo Antônio,Rua da Palma,152,LOJA,"2.598,00",Fechado,,,,Aluguel (inteiro),,,,,,,,,,,,,André Costa (991159455),,,,,,,",",,
11455110020520,11455110,Recife,Rua de São Jorge,25,EDIFICAÇÃO ESPECIAL,"2.525,00",Aberto,,,,,capitania dos portos,N,,,,,,,,,,,,,,,,"-8,06001","-34,87131","-8.06001,-34.87131",-8.06001,-34.87131
11455025057750,11455025,Recife,Rua de São Jorge,48,#N/A,,Abandonado,,Fábrica Pilar,,,,,,,,,,,,,,,,,,,,"-8,05631","-34,86983","-8.05631,-34.86983",-8.05631,-34.86983
11455025057070,11455025,Recife,Rua de São Jorge,71,Condomínio Comercial/Serviço,"1.692,80",Aberto,Moendo na Laje,Moinho Recife,,,,,,,,,,,,,,,,,,,,"-8,05726","-34,86988","-8.05726,-34.86988",-8.05726,-34.86988
11455110020470,11455110,Recife,Rua de São Jorge,133,INDÚSTRIA,"1.633,00",Aberto,,,,,almoxarifado das construtoras do moinho,N,,,,,,,,,,,,,,,,"-8,05951","-34,87084","-8.05951,-34.87084",-8.05951,-34.87084
11455080020146,11455080,Recife,Rua de São Jorge,161,#N/A,,Aberto,,,,,moradia,,,,,,,,,,,,,,,,,"-8,05818","-34,87053","-8.05818,-34.87053",-8.05818,-34.87053
11455080020141,11455080,Recife,Rua de São Jorge,162,Comércio,,Aberto,Bar,,,,Bar,,,,,,,,,,,,,,,,,"-8,05815","-34,87044","-8.05815,-34.87044",-8.05815,-34.87044
11455080020136,11455080,Recife,Rua de São Jorge,163,Comércio,,Aberto,,,,,Barbearia,,,,,,,,,,,,,,,,,"-8,05810","-34,87043","-8.05810,-34.87043",-8.05810,-34.87043
11455095020225,11455095,Recife,Rua de São Jorge,215,INDÚSTRIA,"3.588,00",Em obra,,,,,Flat Moinho,,,,,,,,,,,,,,,,,"-8,05883","-34,87064","-8.05883,-34.87064",-8.05883,-34.87064
11455100040100,11455100,Recife,Rua de São Jorge,240,INDÚSTRIA,"24.621,60",Em obra,,,,,Flat Moinho,,,,,,,,,,,,,,,,,"-8,05901","-34,87016","-8.05901,-34.87016",-8.05901,-34.87016
11455080020126,11455080,Recife,Rua de São Jorge,,#N/A,,Abandonado,,,,,Casa em ruínas,,,,,,,,,,,,,,,,,"-8,05800","-34,87050","-8.05800,-34.87050",-8.05800,-34.87050
11455080020150,11455080,Recife,Rua de São Jorge,,#N/A,,Abandonado,,,,,,,,,,,,,,,,,,,,,,"-8,05822","-34,87053","-8.05822,-34.87053",-8.05822,-34.87053
11455031040005,11455031,Recife,Rua de São Jorge,,#N/A,,Aberto,,Igreja de Nossa Senhora do Pilar,,,,,,,,,,,,,,,,,,,,"-8,05613","-34,87020","-8.05613,-34.87020",-8.05613,-34.87020
11455080020131,11455080,Recife,Rua de São Jorge,,Casa,,Aberto,,,,,Moradia,,,,,,,,,,,,,,,,,"-8,05805","-34,87050","-8.05805,-34.87050",-8.05805,-34.87050
11455055020198,11455055,Recife,Rua de São Jorge,,#N/A,,Terreno,,,,,,,,,,,,,,,,,,,,,,"-8,05762","-34,87045","-8.05762,-34.87045",-8.05762,-34.87045
11455166020226,11455166,Recife,Rua do Apolo,53,GALPÃO,"595,00",Em obra,,,,,em reforma,R1,,,,terreno antigo estacionamento,,,,,,,,,,,,"-8,06183","-34,87303","-8.06183,-34.87303",-8.06183,-34.87303
11455145020369,11455145,Recife,Rua do Apolo,81,INSTITUIÇÃO FINANCEIRA,"2.778,10",Aberto,,,,,empresarial,SR,,,,,,,,,,,,,,,,"-8,06167","-34,87293","-8.06167,-34.87293",-8.06167,-34.87293
11455150040060,11455150,Recife,Rua do Apolo,90,CASA,"265,20",Aberto,,,,,empresa advogados,R1,,,,,,,,,,,,,,,,"-8,06188","-34,87243","-8.06188,-34.87243",-8.06188,-34.87243
11455145020358,11455145,Recife,Rua do Apolo,91,EDIFÍCIO COMERCIAL/SERVIÇOS,"966,00",Fechado,,,,Aluguel (inteiro),Disponível Aluguel Bandeprev,R1,,,,,,,,,,Bandeprev (Kátia),(81)3419-4600,,,"R$19.500,00",Não Aplicável,"-8,06159","-34,87289","-8.06159,-34.87289",-8.06159,-34.87289
11455150040065,11455150,Recife,Rua do Apolo,94,LOJA,"272,00",Aberto,,,,,Estacionamento BB,SR,,,,,,,,,,,,,,,,"-8,06184","-34,87240","-8.06184,-34.87240",-8.06184,-34.87240
11455145020350,11455145,Recife,Rua do Apolo,97,LOJA,"1.367,60",Fechado,,,,,abandonado,,,,,,,,,,,,,,,,,"-8,06153","-34,87283","-8.06153,-34.87283",-8.06153,-34.87283
11455150040070,11455150,Recife,Rua do Apolo,100,LOJA,"357,00",Aberto,,,,,Residence e Depósito,R4,,,,,,,,,,,,,,,,"-8,06179","-34,87238","-8.06179,-34.87238",-8.06179,-34.87238
11455150040080,11455150,Recife,Rua do Apolo,106,EDIFÍCIO COMERCIAL/SERVIÇOS,"440,00",Aberto,,,,,Recentro,SR,,,,,,,,,,,,,,,,"-8,06173","-34,87233","-8.06173,-34.87233",-8.06173,-34.87233
11455145020340,11455145,Recife,Rua do Apolo,107,LOJA,"1.012,50",Em obra,Restaurante,,,,Estava em obra para um restaurante,,,,,,,,,,,,,,,,,"-8,06147","-34,87279","-8.06147,-34.87279",-8.06147,-34.87279
11455150040090,11455150,Recife,Rua do Apolo,118,CASA,"430,40",Abandonado,,,,,Arrecadação,R4,,,,,,,,,,,,,,,,"-8,06164","-34,87229","-8.06164,-34.87229",-8.06164,-34.87229
11455145020328,11455145,Recife,Rua do Apolo,121,EDIFICAÇÃO ESPECIAL,"1.316,80",Aberto,,,,,Teatro Apolo,R2,,,,,,,,,,,,,,,,"-8,06136","-34,87275","-8.06136,-34.87275",-8.06136,-34.87275
11455150040095,11455150,Recife,Rua do Apolo,126,CASA,"165,50",Abandonado,,,,,Arrecadação,R4,,,,,,,,,,,,,,,,"-8,06158","-34,87226","-8.06158,-34.87226",-8.06158,-34.87226
11455145020315,11455145,Recife,Rua do Apolo,133,EDIFÍCIO COMERCIAL/SERVIÇOS,"1.064,00",Abandonado,,,,,santa casa,,,,,,,,,,,,,,,,,"-8,06125","-34,87270","-8.06125,-34.87270",-8.06125,-34.87270
11455150040100,11455150,Recife,Rua do Apolo,134,CASA,"249,20",Aberto,,,,,empresa AMB Promoções Eventos,SR,,,,,,,,,,,,,,,,"-8,06152","-34,87223","-8.06152,-34.87223",-8.06152,-34.87223
11455150040110,11455150,Recife,Rua do Apolo,140,CASA,"292,50",Aberto,,,,,Empresa,SR,,,,,,,,,,,,,,,,"-8,06148","-34,87216","-8.06148,-34.87216",-8.06148,-34.87216
11455145020310,11455145,Recife,Rua do Apolo,143,GALPÃO,"455,70",Fechado,,,,Aluguel (subunidade),térreo,,,,,Direct: 9.9996-5777,,,,,,,,,,,,"-8,06127","-34,87249","-8.06127,-34.87249",-8.06127,-34.87249
11455150040116,11455150,Recife,Rua do Apolo,146,CASA,"158,50",Aberto,,,,,Casa de Cactus AMB Promoções Eventos,SR,,,,,,,,,,,,,,,,"-8,06143","-34,87215","-8.06143,-34.87215",-8.06143,-34.87215
11455150040121,11455150,Recife,Rua do Apolo,152,LOJA,"55,00",Aberto,,,,,Coworking fullness,SR,,,,,,,,,,,,,,,,"-8,06139","-34,87212","-8.06139,-34.87212",-8.06139,-34.87212
11455145020303,11455145,Recife,Rua do Apolo,153,GALPÃO,"256,20",Fechado,,,,Aluguel (inteiro),aluguel,,,,,,,,,,,,,,,,,"-8,06122","-34,87237","-8.06122,-34.87237",-8.06122,-34.87237
11455150040130,11455150,Recife,Rua do Apolo,158,LOJA,"516,00",Aberto,,,,,sindicato dos estivadores nos Portos PE,,,,,,,,,,,,,,,,,"-8,06134","-34,87208","-8.06134,-34.87208",-8.06134,-34.87208
11455145020293,11455145,Recife,Rua do Apolo,161,EDIFÍCIO COMERCIAL/SERVIÇOS,"604,40",Aberto,,,,,Adatti Empresa,,,,,,,,,,,,,,,,,"-8,06103","-34,87255","-8.06103,-34.87255",-8.06103,-34.87255
11455150040135,11455150,Recife,Rua do Apolo,164,LOJA,"74,30",Aberto,Pausa Vip,,,,Empresa Restaurante Pausa Vip,SR,,,,,,,,,,,,,,,,"-8,06129","-34,87205","-8.06129,-34.87205",-8.06129,-34.87205
11455145020278,11455145,Recife,Rua do Apolo,169,LOJA,"588,00",Fechado,,,,Verificar,,,,,,,,,,,,,32313113 / 999965777,,,,,"-8,06098","-34,87251","-8.06098,-34.87251",-8.06098,-34.87251
11455150040144,11455150,Recife,Rua do Apolo,170,LOJA,"84,00",Fechado,,,,,disponível,SR,,,,,,,,,,,,,,,,"-8,06125","-34,87205","-8.06125,-34.87205",-8.06125,-34.87205
11455150040148,11455150,Recife,Rua do Apolo,174,LOJA,"85,80",Aberto,Lulu Comedoria,,,,Restaurante Lulu Comedoria,SR,,,,,,,,,,,,,,,,"-8,06122","-34,87201","-8.06122,-34.87201",-8.06122,-34.87201
11455145020274,11455145,Recife,Rua do Apolo,175,EDIFICAÇÃO ESPECIAL,"1.000,60",Fechado,,,,,entrada rua do cais do apolo,,,,,,,,,,,,,,,,,"-8,06101","-34,87235","-8.06101,-34.87235",-8.06101,-34.87235
11455145020268,11455145,Recife,Rua do Apolo,181,EDIFICAÇÃO ESPECIAL,"836,70",Aberto,,,,,empresa de call center,,,,,,,,,,,,,,,,,"-8,06095","-34,87232","-8.06095,-34.87232",-8.06095,-34.87232
11455150040152,11455150,Recife,Rua do Apolo,182,LOJA,"148,00",Aberto,Mia 182,,,,Mia Café,,,,,,,,,,,,,,,,,"-8,06117","-34,87198","-8.06117,-34.87198",-8.06117,-34.87198
11455130040044,11455130,Recife,Rua do Apolo,198,LOJA,"169,60",Fechado,,,,,,SR,,,,,,,,,,,,,,,,"-8,06102","-34,87189","-8.06102,-34.87189",-8.06102,-34.87189
11455125020220,11455125,Recife,Rua do Apolo,199,EDIFICAÇÃO ESPECIAL,"772,00",Aberto,,,,,Casa de Recepção DiBranco,,,,,,,,,,,,,,,,,"-8,06079","-34,87233","-8.06079,-34.87233",-8.06079,-34.87233
11455130040048,11455130,Recife,Rua do Apolo,202,LOJA,"86,20",Fechado,,,,,não está disponível,R2,,,,,,,,,,,BCT 30918981,,,não está disponível,,"-8,06098","-34,87187","-8.06098,-34.87187",-8.06098,-34.87187
11455125020210,11455125,Recife,Rua do Apolo,207,LOJA,"909,00",Aberto,,,,,empresa speed,,,,,,,,,,,,,,,,,"-8,06071","-34,87234","-8.06071,-34.87234",-8.06071,-34.87234
11455130040053,11455130,Recife,Rua do Apolo,208,LOJA,"80,40",Fechado,,,,,,SR,,,,,,,,,,,,,,,,"-8,06094","-34,87184","-8.06094,-34.87184",-8.06094,-34.87184
11455125020205,11455125,Recife,Rua do Apolo,213,LOJA,"971,70",Aberto,,,,,empresa stellantis,,,,,,,,,,,,,,,,,"-8,06067","-34,87231","-8.06067,-34.87231",-8.06067,-34.87231
11455130040065,11455130,Recife,Rua do Apolo,216,LOJA,"110,40",Em obra,,,,,,SR,,,,,,,,,,,(81) 99114-9000,,,"R$ 15.000,00",não disponível,"-8,06087","-34,87180","-8.06087,-34.87180",-8.06087,-34.87180
11455125020195,11455125,Recife,Rua do Apolo,219,LOJA,"538,60",Aberto,Casa Malassombro,,,,Casa Malassombro - Sede da orquestra,,,,,,,,,,,,,,,,,"-8,06067","-34,87219","-8.06067,-34.87219",-8.06067,-34.87219
11455130040070,11455130,Recife,Rua do Apolo,224,EDIFÍCIO COMERCIAL/SERVIÇOS,"121,40",Aberto,,,,,Ponto de Cultura Pé de Serra,R1,,,,,,,,,,,,,,,,"-8,06082","-34,87177","-8.06082,-34.87177",-8.06082,-34.87177
11455130040075,11455130,Recife,Rua do Apolo,230,LOJA,"378,10",Fechado,,,,Venda (inteiro),disponível vende-se,,,,,fechado (antigo Sinspire Rua da Guia),,,,,,,Dono - 998461212 / 21233333,,,não disponível,"R$2.000.000,00","-8,06079","-34,87168","-8.06079,-34.87168",-8.06079,-34.87168
11455130040080,11455130,Recife,Rua do Apolo,234,EDIFÍCIO COMERCIAL/SERVIÇOS,"764,70",Aberto,,,,,embaixada dos bonecos entrada pela Rua da Guia,,,,,,,,,,,,Direct - 32313113 / 999965777,,,,,"-8,06071","-34,87166","-8.06071,-34.87166",-8.06071,-34.87166
11455125020185,11455125,Recife,Rua do Apolo,235,CASA,"571,50",Aberto,,,,,Apolo 235 / Porto Digital,,,,,,,,,,,,,,,,,"-8,06059","-34,87222","-8.06059,-34.87222",-8.06059,-34.87222
11455156020250,11455156,Recife,Rua do Bom Jesus,125,EDIFÍCIO COMERCIAL/SERVIÇOS,"1.137,70",Aberto,,,,,galeria de arte,,,,,funcionando (empresa station),,,,,,,,,,,,"-8,06241","-34,87172","-8.06241,-34.87172",-8.06241,-34.87172
11455156020240,11455156,Recife,Rua do Bom Jesus,137,EDIFÍCIO COMERCIAL/SERVIÇOS,"816,70",Aberto,,,,,Universidade Uniaeso,,,,,,,,,,,,,,,,,"-8,06233","-34,87168","-8.06233,-34.87168",-8.06233,-34.87168
11455156020230,11455156,Recife,Rua do Bom Jesus,143,EDIFÍCIO COMERCIAL/SERVIÇOS,"400,00",Aberto,,,,,Balé Popular do Recife,,,,,,,,,,,,,,,,,"-8,06228","-34,87165","-8.06228,-34.87165",-8.06228,-34.87165
11455156020223,11455156,Recife,Rua do Bom Jesus,147,#N/A,,Em obra,,,,,Prédio público/futuras instalações da Sec.da mulher,R2,,,,,,,,,,,,,,,,"-8,06221","-34,87162","-8.06221,-34.87162",-8.06221,-34.87162
11455160040070,11455160,Recife,Rua do Bom Jesus,152,LOJA,"626,40",Aberto,Cioccolatte Gelateria,,,,Cioccolatte Gelateria (entrada pela Alfredo Lisboa),,,,,funcionando (entrada pela Rua Alfredo Lisboa),,,,,,,,,,,,"-8,06243","-34,87125","-8.06243,-34.87125",-8.06243,-34.87125
11455156020223,11455156,Recife,Rua do Bom Jesus,155,EDIFÍCIO COMERCIAL/SERVIÇOS,"916,50",Em obra,,,,,Prédio Público Futuras Estalações SELM,R2,,,,,,,,,,,,,,,,"-8,06221","-34,87162","-8.06221,-34.87162",-8.06221,-34.87162
11455160040075,11455160,Recife,Rua do Bom Jesus,156,EDIFICAÇÃO ESPECIAL,"582,80",Aberto,,,,,Datametrica,,,,,funcionando (acesso pela Rua Alfredo Lisboa),,,,,,,,,,,,"-8,06239","-34,87122","-8.06239,-34.87122",-8.06239,-34.87122
11455160040080,11455160,Recife,Rua do Bom Jesus,160,EDIFICAÇÃO ESPECIAL,"561,40",Aberto,,,,,Datametrica,,,,,funcionando (acesso pela Rua Alfredo Lisboa),,,,,,,,,,,,"-8,06234","-34,87120","-8.06234,-34.87120",-8.06234,-34.87120
11455156020215,11455156,Recife,Rua do Bom Jesus,163,LOJA,"552,00",Aberto,,,,,Sindicato dos Conferentes de Carga PE,,,,,terreo loja de artesanato PE sobreloja,,,,,,,,,,,,"-8,06212","-34,87158","-8.06212,-34.87158",-8.06212,-34.87158
11455160040086,11455160,Recife,Rua do Bom Jesus,164,LOJA,"388,80",Abandonado,,,,,Interditado,,,,,,,,,,,,,,,,,"-8,06229","-34,87119","-8.06229,-34.87119",-8.06229,-34.87119
11455156020205,11455156,Recife,Rua do Bom Jesus,171,SALA,"509,00",Aberto,,,,,agência raposo,,,,,,,,,,,,,,,,,"-8,06206","-34,87156","-8.06206,-34.87156",-8.06206,-34.87156
11455160040100,11455160,Recife,Rua do Bom Jesus,172,EDIFÍCIO COMERCIAL/SERVIÇOS,"1.082,00",Aberto,Bar 28 (Alfredo Lisboa),,,Aluguel (subunidade),Ed. Bom jesus / Misto (moradia e comércio),R1,,,,,,,,,,,,,,,,"-8,06221","-34,87116","-8.06221,-34.87116",-8.06221,-34.87116
11455160040110,11455160,Recife,Rua do Bom Jesus,180,EDIFÍCIO COMERCIAL/SERVIÇOS,"595,20",Aberto,,,,,espaço coworking,,,,,,,,,,,,,,,,,"-8,06214","-34,87113","-8.06214,-34.87113",-8.06214,-34.87113
11455156020196,11455156,Recife,Rua do Bom Jesus,183,EDIFÍCIO COMERCIAL/SERVIÇOS,"1.191,40",Aberto,Café Bom Jesus,,,,"Embaixada Pernambuco, Cafe Bom Jesus",,,,,funcionando (Empresarial Bom Jesus),,,,,,,,,,,,"-8,06197","-34,87151","-8.06197,-34.87151",-8.06197,-34.87151
11455160040115,11455160,Recife,Rua do Bom Jesus,188,EDIFICAÇÃO ESPECIAL,"1.056,00",Aberto,,,,,Delegacia Polícia Civil,,,,,funcionando (acesso pela Rua Alfredo Lisboa),,,,,,,,,,,,"-8,06208","-34,87111","-8.06208,-34.87111",-8.06208,-34.87111
11455156020190,11455156,Recife,Rua do Bom Jesus,191,LOJA,"374,80",Aberto,,,,,Inciti Parque Capibaribe (antigo Banco Safra),,,,,,,,,,,,,,,,,"-8,06189","-34,87147","-8.06189,-34.87147",-8.06189,-34.87147
11455160040120,11455160,Recife,Rua do Bom Jesus,194,EDIFICAÇÃO ESPECIAL,"545,60",Aberto,,,,,Praticagem da barra,R1,,,,,,,,,,,,,,,,"-8,06202","-34,87109","-8.06202,-34.87109",-8.06202,-34.87109
11455156020180,11455156,Recife,Rua do Bom Jesus,197,TEMPLO RELIGIOSO,"297,50",Aberto,,,,,sinagoga,,,,,,,,,,,,,,,,,"-8,06185","-34,87145","-8.06185,-34.87145",-8.06185,-34.87145
11455160040130,11455160,Recife,Rua do Bom Jesus,200,EDIFÍCIO COMERCIAL/SERVIÇOS,"537,60",Aberto,,,,,Sindicato dos Trabalhadores Portuários PE,,,,,,,,,,,,,,,,,"-8,06197","-34,87107","-8.06197,-34.87107",-8.06197,-34.87107
11455156020175,11455156,Recife,Rua do Bom Jesus,203,EDIFICAÇÃO ESPECIAL,"306,40",Aberto,,,,,sinagoga,,,,,,,,,,,,,,,,,"-8,06181","-34,87143","-8.06181,-34.87143",-8.06181,-34.87143
11455160040135,11455160,Recife,Rua do Bom Jesus,206,EDIFÍCIO COMERCIAL/SERVIÇOS,"446,40",Abandonado,,,,,Abandonado,,,,,,,,,,,Santa Casa - Ewerton,(81) 99163-6513,,,"R$10.000,00","Imóvel 206/212 - R$3.000,000,00","-8,06192","-34,87106","-8.06192,-34.87106",-8.06192,-34.87106
11455156020170,11455156,Recife,Rua do Bom Jesus,207,LOJA,"835,30",Aberto,,,,,"Edifício London (Empresas, Polícia)",,,,,,,,,,,,,,,,,"-8,06176","-34,87140","-8.06176,-34.87140",-8.06176,-34.87140
11455160040145,11455160,Recife,Rua do Bom Jesus,212,EDIFÍCIO COMERCIAL/SERVIÇOS,"487,50",Abandonado,,,,Aluguel (inteiro),,,,,,Aluguel: 99269-0184,Fernando Dubeux,,,,,Santa Casa - Ewerton,(81) 99163-6513,,,"R$10.000,00","Imóvel 206/212 - R$3.000,000,00","-8,06186","-34,87104","-8.06186,-34.87104",-8.06186,-34.87104
11455156020160,11455156,Recife,Rua do Bom Jesus,215,EDIFÍCIO COMERCIAL/SERVIÇOS,"492,00",Aberto,,,,,Artesanato,,,,,Funcionando apenas o Térreo,,,,,,,,,,,,"-8,06170","-34,87138","-8.06170,-34.87138",-8.06170,-34.87138
